id	title	description	link	image_link	additional_image_link	availability	price	brand	condition	gtin	mpn	item_group_id	color	size	material	shipping_label
260707	Taie d'oreiller en Tencel™ satiné, couleur Terra Pink	Oubliez les crèmes de nuit hors de prix. Notre taie d'oreiller en Tencel™ Sateen, couleur Terra Pink, présente un tissage lisse et doux comme du satin, qui prend soin de votre peau et de vos cheveux : l'effet « taie d'oreiller beauté », sans le prix.	https://www.maisondecocon.com/fr/products/tencel-sateen-pillowcase-terra-pink?variant_sku=260707	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-terra-pink-styled-01.jpg?v=1785863976		out_of_stock	71.91 EUR	Coco & Cici	new	7423603440456	260707	tencel-sateen-pillowcase-terra-pink		1 pillowcase 60x70	100% Tencel™ Lyocell	std_10
M2507021	Taie d'oreiller en twill Tencel™ couleur pêche	Complétez votre parure avec une touche de douceur assortie. Notre taie d'oreiller en sergé Tencel™ couleur pêche offre le même confort mat et durable que nos housses de couette : un luxe discret, un oreiller à la fois.	https://www.maisondecocon.com/fr/products/tencel-twill-pillowcase-peach?variant_sku=M2507021	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-peach-styled-01.jpg?v=1785867010		in_stock	53.91 EUR	Coco & Cici	new	6097754945965	M2507021	tencel-twill-pillowcase-peach		Pre-order: 1 pillowcase 50x70 without valance (available October 5)	100% Tencel™ Lyocell	std_10
M2607021	Taie d'oreiller en twill Tencel™ couleur pêche	Complétez votre parure avec une touche de douceur assortie. Notre taie d'oreiller en sergé Tencel™ couleur pêche offre le même confort mat et durable que nos housses de couette : un luxe discret, un oreiller à la fois.	https://www.maisondecocon.com/fr/products/tencel-twill-pillowcase-peach?variant_sku=M2607021	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-peach-styled-01.jpg?v=1785867010		in_stock	53.91 EUR	Coco & Cici	new	6097755225226	M2607021	tencel-twill-pillowcase-peach		1 pillowcase 60x70 without valance	100% Tencel™ Lyocell	std_10
M250601	Taie d'oreiller en twill Tencel™ couleur pêche	Complétez votre parure avec une touche de douceur assortie. Notre taie d'oreiller en sergé Tencel™ couleur pêche offre le même confort mat et durable que nos housses de couette : un luxe discret, un oreiller à la fois.	https://www.maisondecocon.com/fr/products/tencel-twill-pillowcase-peach?variant_sku=M250601	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-peach-styled-01.jpg?v=1785867010		out_of_stock	53.91 EUR	Coco & Cici	new	6097755357330	M250601	tencel-twill-pillowcase-peach		Pre-order: 1 pillowcase 50x60 (available October 5)	100% Tencel™ Lyocell	std_10
M260701	Taie d'oreiller en twill Tencel™ couleur pêche	Complétez votre parure avec une touche de douceur assortie. Notre taie d'oreiller en sergé Tencel™ couleur pêche offre le même confort mat et durable que nos housses de couette : un luxe discret, un oreiller à la fois.	https://www.maisondecocon.com/fr/products/tencel-twill-pillowcase-peach?variant_sku=M260701	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-peach-styled-01.jpg?v=1785867010		in_stock	59.31 EUR	Coco & Cici	new	6097755423462	M260701	tencel-twill-pillowcase-peach		Pre-order: 1 pillowcase 60x70 (available October 5)	100% Tencel™ Lyocell	std_10
250905	Taie d'oreiller en Tencel™ Sateen, blanc cassé	D'une texture lisse et respirante, et dotée d'un éclat satiné tout en douceur, notre taie d'oreiller en Tencel™ satiné, de couleur blanc cassé, s'harmonise parfaitement avec n'importe laquelle de nos housses de couette en satin — ou se suffit à elle-même avec élégance.	https://www.maisondecocon.com/fr/products/tencel-sateen-pillowcase-off-white?variant_sku=250905	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-off-white-lifestyle.jpg?v=1785867423	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-off-white-folded..jpg?v=1785867434,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-off-white-pair.jpg?v=1785867449,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-off-white-fabric-detail.jpg?v=1785867469,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-off-white-label-detail.jpg?v=1785867483	in_stock	75.51 EUR	Coco & Cici	new	8721184401156	250905	tencel-sateen-pillowcase-off-white		1 pillowcase 50x90	100% Tencel™ Lyocell	std_10
2607025	Taie d'oreiller en Tencel™ Sateen, blanc cassé	D'une texture lisse et respirante, et dotée d'un éclat satiné tout en douceur, notre taie d'oreiller en Tencel™ satiné, de couleur blanc cassé, s'harmonise parfaitement avec n'importe laquelle de nos housses de couette en satin — ou se suffit à elle-même avec élégance.	https://www.maisondecocon.com/fr/products/tencel-sateen-pillowcase-off-white?variant_sku=2607025	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-off-white-lifestyle.jpg?v=1785867423	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-off-white-folded..jpg?v=1785867434,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-off-white-pair.jpg?v=1785867449,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-off-white-fabric-detail.jpg?v=1785867469,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-off-white-label-detail.jpg?v=1785867483	in_stock	62.91 EUR	Coco & Cici	new	7448135514529	2607025	tencel-sateen-pillowcase-off-white		1 pillowcase 60x70 without valance	100% Tencel™ Lyocell	std_10
250605	Taie d'oreiller en Tencel™ Sateen, blanc cassé	D'une texture lisse et respirante, et dotée d'un éclat satiné tout en douceur, notre taie d'oreiller en Tencel™ satiné, de couleur blanc cassé, s'harmonise parfaitement avec n'importe laquelle de nos housses de couette en satin — ou se suffit à elle-même avec élégance.	https://www.maisondecocon.com/fr/products/tencel-sateen-pillowcase-off-white?variant_sku=250605	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-off-white-lifestyle.jpg?v=1785867423	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-off-white-folded..jpg?v=1785867434,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-off-white-pair.jpg?v=1785867449,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-off-white-fabric-detail.jpg?v=1785867469,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-off-white-label-detail.jpg?v=1785867483	in_stock	62.91 EUR	Coco & Cici	new	7448128676678	250605	tencel-sateen-pillowcase-off-white		Pre-order: 1 pillowcase 50x60 (available October 5)	100% Tencel™ Lyocell	std_10
265655	Taie d'oreiller en Tencel™ Sateen, blanc cassé	D'une texture lisse et respirante, et dotée d'un éclat satiné tout en douceur, notre taie d'oreiller en Tencel™ satiné, de couleur blanc cassé, s'harmonise parfaitement avec n'importe laquelle de nos housses de couette en satin — ou se suffit à elle-même avec élégance.	https://www.maisondecocon.com/fr/products/tencel-sateen-pillowcase-off-white?variant_sku=265655	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-off-white-lifestyle.jpg?v=1785867423	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-off-white-folded..jpg?v=1785867434,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-off-white-pair.jpg?v=1785867449,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-off-white-fabric-detail.jpg?v=1785867469,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-off-white-label-detail.jpg?v=1785867483	in_stock	71.91 EUR	Coco & Cici	new	8721184401125	265655	tencel-sateen-pillowcase-off-white		1 pillowcase 65x65	100% Tencel™ Lyocell	std_10
250755	Taie d'oreiller en Tencel™ Sateen, blanc cassé	D'une texture lisse et respirante, et dotée d'un éclat satiné tout en douceur, notre taie d'oreiller en Tencel™ satiné, de couleur blanc cassé, s'harmonise parfaitement avec n'importe laquelle de nos housses de couette en satin — ou se suffit à elle-même avec élégance.	https://www.maisondecocon.com/fr/products/tencel-sateen-pillowcase-off-white?variant_sku=250755	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-off-white-lifestyle.jpg?v=1785867423	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-off-white-folded..jpg?v=1785867434,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-off-white-pair.jpg?v=1785867449,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-off-white-fabric-detail.jpg?v=1785867469,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-off-white-label-detail.jpg?v=1785867483	in_stock	71.91 EUR	Coco & Cici	new	8721184401040	250755	tencel-sateen-pillowcase-off-white		1 pillowcase 50x75	100% Tencel™ Lyocell	std_10
280805	Taie d'oreiller en Tencel™ Sateen, blanc cassé	D'une texture lisse et respirante, et dotée d'un éclat satiné tout en douceur, notre taie d'oreiller en Tencel™ satiné, de couleur blanc cassé, s'harmonise parfaitement avec n'importe laquelle de nos housses de couette en satin — ou se suffit à elle-même avec élégance.	https://www.maisondecocon.com/fr/products/tencel-sateen-pillowcase-off-white?variant_sku=280805	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-off-white-lifestyle.jpg?v=1785867423	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-off-white-folded..jpg?v=1785867434,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-off-white-pair.jpg?v=1785867449,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-off-white-fabric-detail.jpg?v=1785867469,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-off-white-label-detail.jpg?v=1785867483	in_stock	77.31 EUR	Coco & Cici	new	7423611089050	280805	tencel-sateen-pillowcase-off-white		1 pillowcase 80x80	100% Tencel™ Lyocell	std_10
2507025	Taie d'oreiller en Tencel™ Sateen, blanc cassé	D'une texture lisse et respirante, et dotée d'un éclat satiné tout en douceur, notre taie d'oreiller en Tencel™ satiné, de couleur blanc cassé, s'harmonise parfaitement avec n'importe laquelle de nos housses de couette en satin — ou se suffit à elle-même avec élégance.	https://www.maisondecocon.com/fr/products/tencel-sateen-pillowcase-off-white?variant_sku=2507025	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-off-white-lifestyle.jpg?v=1785867423	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-off-white-folded..jpg?v=1785867434,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-off-white-pair.jpg?v=1785867449,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-off-white-fabric-detail.jpg?v=1785867469,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-off-white-label-detail.jpg?v=1785867483	in_stock	57.51 EUR	Coco & Cici	new	8721184402320	2507025	tencel-sateen-pillowcase-off-white		Pre-order: 1 pillowcase 50x70 without valance (available October 5)	100% Tencel™ Lyocell	std_10
260705	Taie d'oreiller en Tencel™ Sateen, blanc cassé	D'une texture lisse et respirante, et dotée d'un éclat satiné tout en douceur, notre taie d'oreiller en Tencel™ satiné, de couleur blanc cassé, s'harmonise parfaitement avec n'importe laquelle de nos housses de couette en satin — ou se suffit à elle-même avec élégance.	https://www.maisondecocon.com/fr/products/tencel-sateen-pillowcase-off-white?variant_sku=260705	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-off-white-lifestyle.jpg?v=1785867423	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-off-white-folded..jpg?v=1785867434,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-off-white-pair.jpg?v=1785867449,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-off-white-fabric-detail.jpg?v=1785867469,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-off-white-label-detail.jpg?v=1785867483	in_stock	71.91 EUR	Coco & Cici	new	8721184402290	260705	tencel-sateen-pillowcase-off-white		Pre-order: 1 pillowcase 60x70 (available October 5)	100% Tencel™ Lyocell	std_10
2507525	Taie d'oreiller en Tencel™ Sateen, blanc cassé	D'une texture lisse et respirante, et dotée d'un éclat satiné tout en douceur, notre taie d'oreiller en Tencel™ satiné, de couleur blanc cassé, s'harmonise parfaitement avec n'importe laquelle de nos housses de couette en satin — ou se suffit à elle-même avec élégance.	https://www.maisondecocon.com/fr/products/tencel-sateen-pillowcase-off-white?variant_sku=2507525	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-off-white-lifestyle.jpg?v=1785867423	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-off-white-folded..jpg?v=1785867434,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-off-white-pair.jpg?v=1785867449,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-off-white-fabric-detail.jpg?v=1785867469,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-off-white-label-detail.jpg?v=1785867483	in_stock	62.91 EUR	Coco & Cici	new	8721184401088	2507525	tencel-sateen-pillowcase-off-white		1 pillowcase 50x75 without Volant	100% Tencel™ Lyocell	std_10
240805	Taie d'oreiller en Tencel™ Sateen, blanc cassé	D'une texture lisse et respirante, et dotée d'un éclat satiné tout en douceur, notre taie d'oreiller en Tencel™ satiné, de couleur blanc cassé, s'harmonise parfaitement avec n'importe laquelle de nos housses de couette en satin — ou se suffit à elle-même avec élégance.	https://www.maisondecocon.com/fr/products/tencel-sateen-pillowcase-off-white?variant_sku=240805	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-off-white-lifestyle.jpg?v=1785867423	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-off-white-folded..jpg?v=1785867434,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-off-white-pair.jpg?v=1785867449,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-off-white-fabric-detail.jpg?v=1785867469,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-off-white-label-detail.jpg?v=1785867483	in_stock	62.91 EUR	Coco & Cici	new	7423610655607	240805	tencel-sateen-pillowcase-off-white		1 pillowcase 40x80	100% Tencel™ Lyocell	std_10
260703	Taie d'oreiller en Tencel™ satiné, gris-bleu	Doux, respirant et doté d'un éclat satiné délicat, notre taie d'oreiller en Tencel™ Sateen, couleur gris-bleu, s'harmonise parfaitement avec n'importe laquelle de nos housses de couette en satin — ou se suffit à elle-même.	https://www.maisondecocon.com/fr/products/tencel-sateen-pillowcase-gray-blue?variant_sku=260703	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-gray-styled-01blue.jpg?v=1785867572		out_of_stock	71.91 EUR	Coco & Cici	new	7439634189172	260703	tencel-sateen-pillowcase-gray-blue			100% Tencel™ Lyocell	std_10
B280803	Taie d'oreiller en bambou, jaune ocre	En bambou écologique, doux et respirant : notre taie d'oreiller « Ocher Yellow » constitue une entrée en matière douce et accessible dans l'univers de la literie durable. Elle s'associe à merveille avec n'importe laquelle de nos housses de couette en Tencel™ ou en bambou.	https://www.maisondecocon.com/fr/products/bamboo-pillowcase-ocher-yellow?variant_sku=B280803	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/bamboo-pillowcase-ochre-yellow-styled-01.jpg?v=1785867848		in_stock	59.31 EUR	Coco & Cici	new	6091017441461	B280803	bamboo-pillowcase-ocher-yellow		1 pillowcase 80x80	100% Eco Bamboo fibre	std_10
B250603	Taie d'oreiller en bambou, jaune ocre	En bambou écologique, doux et respirant : notre taie d'oreiller « Ocher Yellow » constitue une entrée en matière douce et accessible dans l'univers de la literie durable. Elle s'associe à merveille avec n'importe laquelle de nos housses de couette en Tencel™ ou en bambou.	https://www.maisondecocon.com/fr/products/bamboo-pillowcase-ocher-yellow?variant_sku=B250603	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/bamboo-pillowcase-ochre-yellow-styled-01.jpg?v=1785867848		out_of_stock	44.91 EUR	Coco & Cici	new	6091016919992	B250603	bamboo-pillowcase-ocher-yellow		1 pillowcase 50x60	100% Eco Bamboo fibre	std_10
B240803	Taie d'oreiller en bambou, jaune ocre	En bambou écologique, doux et respirant : notre taie d'oreiller « Ocher Yellow » constitue une entrée en matière douce et accessible dans l'univers de la literie durable. Elle s'associe à merveille avec n'importe laquelle de nos housses de couette en Tencel™ ou en bambou.	https://www.maisondecocon.com/fr/products/bamboo-pillowcase-ocher-yellow?variant_sku=B240803	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/bamboo-pillowcase-ochre-yellow-styled-01.jpg?v=1785867848		out_of_stock	46.71 EUR	Coco & Cici	new	6091016957949	B240803	bamboo-pillowcase-ocher-yellow		1 pillowcase 40x80	100% Eco Bamboo fibre	std_10
B265653	Taie d'oreiller en bambou, jaune ocre	En bambou écologique, doux et respirant : notre taie d'oreiller « Ocher Yellow » constitue une entrée en matière douce et accessible dans l'univers de la literie durable. Elle s'associe à merveille avec n'importe laquelle de nos housses de couette en Tencel™ ou en bambou.	https://www.maisondecocon.com/fr/products/bamboo-pillowcase-ocher-yellow?variant_sku=B265653	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/bamboo-pillowcase-ochre-yellow-styled-01.jpg?v=1785867848		out_of_stock	50.31 EUR	Coco & Cici	new	6091017366375	B265653	bamboo-pillowcase-ocher-yellow		1 pillowcase 65x65	100% Eco Bamboo fibre	std_10
B250753	Taie d'oreiller en bambou, jaune ocre	En bambou écologique, doux et respirant : notre taie d'oreiller « Ocher Yellow » constitue une entrée en matière douce et accessible dans l'univers de la literie durable. Elle s'associe à merveille avec n'importe laquelle de nos housses de couette en Tencel™ ou en bambou.	https://www.maisondecocon.com/fr/products/bamboo-pillowcase-ocher-yellow?variant_sku=B250753	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/bamboo-pillowcase-ochre-yellow-styled-01.jpg?v=1785867848		out_of_stock	50.31 EUR	Coco & Cici	new	6091017024039	B250753	bamboo-pillowcase-ocher-yellow		1 pillowcase 50x75	100% Eco Bamboo fibre	std_10
B260703	Taie d'oreiller en bambou, jaune ocre	En bambou écologique, doux et respirant : notre taie d'oreiller « Ocher Yellow » constitue une entrée en matière douce et accessible dans l'univers de la literie durable. Elle s'associe à merveille avec n'importe laquelle de nos housses de couette en Tencel™ ou en bambou.	https://www.maisondecocon.com/fr/products/bamboo-pillowcase-ocher-yellow?variant_sku=B260703	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/bamboo-pillowcase-ochre-yellow-styled-01.jpg?v=1785867848		out_of_stock	50.31 EUR	Coco & Cici	new	6091016884832	B260703	bamboo-pillowcase-ocher-yellow		1 pillowcase 60x70	100% Eco Bamboo fibre	std_10
2507026	Taie d'oreiller en Tencel™ satiné, gris-vert	D'une texture lisse et respirante, et dotée d'un éclat satiné tout en douceur, notre taie d'oreiller en Tencel™ Sateen, couleur gris-vert, s'harmonise parfaitement avec n'importe laquelle de nos housses de couette en satin — ou se suffit à elle-même avec élégance.	https://www.maisondecocon.com/fr/products/tencel-sateen-pillowcase-gray-green?variant_sku=2507026	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-gray-green-styled-01.jpg?v=1785867915		in_stock	57.51 EUR	Coco & Cici	new	8721184402191	2507026	tencel-sateen-pillowcase-gray-green		Pre-order: 1 pillowcase 50x70 without valance (available October 5)	100% Tencel™ Lyocell	std_10
240806	Taie d'oreiller en Tencel™ satiné, gris-vert	D'une texture lisse et respirante, et dotée d'un éclat satiné tout en douceur, notre taie d'oreiller en Tencel™ Sateen, couleur gris-vert, s'harmonise parfaitement avec n'importe laquelle de nos housses de couette en satin — ou se suffit à elle-même avec élégance.	https://www.maisondecocon.com/fr/products/tencel-sateen-pillowcase-gray-green?variant_sku=240806	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-gray-green-styled-01.jpg?v=1785867915		in_stock	62.91 EUR	Coco & Cici	new	7423611268219	240806	tencel-sateen-pillowcase-gray-green		1 pillowcase 40x80	100% Tencel™ Lyocell	std_10
260706	Taie d'oreiller en Tencel™ satiné, gris-vert	D'une texture lisse et respirante, et dotée d'un éclat satiné tout en douceur, notre taie d'oreiller en Tencel™ Sateen, couleur gris-vert, s'harmonise parfaitement avec n'importe laquelle de nos housses de couette en satin — ou se suffit à elle-même avec élégance.	https://www.maisondecocon.com/fr/products/tencel-sateen-pillowcase-gray-green?variant_sku=260706	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-gray-green-styled-01.jpg?v=1785867915		in_stock	71.91 EUR	Coco & Cici	new	8721184402160	260706	tencel-sateen-pillowcase-gray-green		Pre-order: 1 pillowcase 60x70 (available October 5)	100% Tencel™ Lyocell	std_10
250606	Taie d'oreiller en Tencel™ satiné, gris-vert	D'une texture lisse et respirante, et dotée d'un éclat satiné tout en douceur, notre taie d'oreiller en Tencel™ Sateen, couleur gris-vert, s'harmonise parfaitement avec n'importe laquelle de nos housses de couette en satin — ou se suffit à elle-même avec élégance.	https://www.maisondecocon.com/fr/products/tencel-sateen-pillowcase-gray-green?variant_sku=250606	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-gray-green-styled-01.jpg?v=1785867915		in_stock	62.91 EUR	Coco & Cici	new	8721184402153	250606	tencel-sateen-pillowcase-gray-green		Pre-order: 1 pillowcase 50x60 (available October 5)	100% Tencel™ Lyocell	std_10
280806	Taie d'oreiller en Tencel™ satiné, gris-vert	D'une texture lisse et respirante, et dotée d'un éclat satiné tout en douceur, notre taie d'oreiller en Tencel™ Sateen, couleur gris-vert, s'harmonise parfaitement avec n'importe laquelle de nos housses de couette en satin — ou se suffit à elle-même avec élégance.	https://www.maisondecocon.com/fr/products/tencel-sateen-pillowcase-gray-green?variant_sku=280806	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-gray-green-styled-01.jpg?v=1785867915		in_stock	77.31 EUR	Coco & Cici	new	7423611433433	280806	tencel-sateen-pillowcase-gray-green		1 pillowcase 80x80	100% Tencel™ Lyocell	std_10
2607026	Taie d'oreiller en Tencel™ satiné, gris-vert	D'une texture lisse et respirante, et dotée d'un éclat satiné tout en douceur, notre taie d'oreiller en Tencel™ Sateen, couleur gris-vert, s'harmonise parfaitement avec n'importe laquelle de nos housses de couette en satin — ou se suffit à elle-même avec élégance.	https://www.maisondecocon.com/fr/products/tencel-sateen-pillowcase-gray-green?variant_sku=2607026	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-gray-green-styled-01.jpg?v=1785867915		in_stock	62.91 EUR	Coco & Cici	new	8721184402207	2607026	tencel-sateen-pillowcase-gray-green		1 pillowcase 60x70 without valance	100% Tencel™ Lyocell	std_10
B250606	Taie d'oreiller Eco Bamboo, couleur « Powder Peach »	En bambou écologique, doux et respirant : notre taie d'oreiller « Powder Peach » constitue une entrée en matière douce et accessible dans l'univers de la literie durable. Elle est idéale pour être associée à n'importe laquelle de nos housses de couette en Tencel™ ou en bambou.	https://www.maisondecocon.com/fr/products/eco-bamboe-kussensloop-powder-peach?variant_sku=B250606	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-peach-white-lifestyle.jpg?v=1785868206	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-peach-white-folded.jpg?v=1785868219,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-peach-white-label-detail.jpg?v=1785868233	in_stock	44.91 EUR	Coco & Cici	new	8721184401354	B250606	eco-bamboe-kussensloop-powder-peach		1 kussensloop 50x60	100% Eco Bamboo fibre	std_10
B265656	Taie d'oreiller Eco Bamboo, couleur « Powder Peach »	En bambou écologique, doux et respirant : notre taie d'oreiller « Powder Peach » constitue une entrée en matière douce et accessible dans l'univers de la literie durable. Elle est idéale pour être associée à n'importe laquelle de nos housses de couette en Tencel™ ou en bambou.	https://www.maisondecocon.com/fr/products/eco-bamboe-kussensloop-powder-peach?variant_sku=B265656	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-peach-white-lifestyle.jpg?v=1785868206	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-peach-white-folded.jpg?v=1785868219,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-peach-white-label-detail.jpg?v=1785868233	in_stock	50.31 EUR	Coco & Cici	new	8721184401408	B265656	eco-bamboe-kussensloop-powder-peach		1 kussensloop 65x65	100% Eco Bamboo fibre	std_10
B2507526	Taie d'oreiller Eco Bamboo, couleur « Powder Peach »	En bambou écologique, doux et respirant : notre taie d'oreiller « Powder Peach » constitue une entrée en matière douce et accessible dans l'univers de la literie durable. Elle est idéale pour être associée à n'importe laquelle de nos housses de couette en Tencel™ ou en bambou.	https://www.maisondecocon.com/fr/products/eco-bamboe-kussensloop-powder-peach?variant_sku=B2507526	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-peach-white-lifestyle.jpg?v=1785868206	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-peach-white-folded.jpg?v=1785868219,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-peach-white-label-detail.jpg?v=1785868233	in_stock	50.31 EUR	Coco & Cici	new	8721184401439	B2507526	eco-bamboe-kussensloop-powder-peach		1 kussensloop 50x75 zonder volant	100% Eco Bamboo fibre	std_10
B240806	Taie d'oreiller Eco Bamboo, couleur « Powder Peach »	En bambou écologique, doux et respirant : notre taie d'oreiller « Powder Peach » constitue une entrée en matière douce et accessible dans l'univers de la literie durable. Elle est idéale pour être associée à n'importe laquelle de nos housses de couette en Tencel™ ou en bambou.	https://www.maisondecocon.com/fr/products/eco-bamboe-kussensloop-powder-peach?variant_sku=B240806	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-peach-white-lifestyle.jpg?v=1785868206	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-peach-white-folded.jpg?v=1785868219,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-sateen-pillowcase-peach-white-label-detail.jpg?v=1785868233	in_stock	46.71 EUR	Coco & Cici	new	8721184401347	B240806	eco-bamboe-kussensloop-powder-peach		1 kussensloop 40x80	100% Eco Bamboo fibre	std_10
